invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date
100000,Hair Care,Conditioner,2,29.35,13,822,2025-02-04
100001,Hair Care,Conditioner,4,32.18,59,761,2021-07-06
100002,Oral Care,Mouthwash,1,15.04,32,530,2020-11-12
100003,Oral Care,Toothpaste,1,10.3,45,817,2024-01-12
100004,Oral Care,Mouthwash,1,13.21,43,176,2022-02-15
100005,Skin Care,Face Wash,4,57.4,45,647,2024-09-17
100006,Hair Care,Hair Oil,2,5.61,12,306,2023-09-21
100007,Body Care and Hygiene,Body Lotion,1,7.03,12,939,2022-09-07
100008,Skin Care,Face Wash,1,41.51,33,411,2022-02-11
100009,Hair Care,Conditioner,2,34.03,22,749,2021-05-16
100010,Hair Care,Shampoo,1,25.56,51,965,2024-10-20
100011,Hair Care,Hair Oil,3,35.82,16,792,2021-07-30
100012,Body Care and Hygiene,Deodorant,2,13.67,54,354,2022-08-21
100013,Skin Care,Face Wash,2,68.23,26,204,2021-05-20
100014,Skin Care,Sunscreen,4,50.92,58,37,2023-08-19
100015,Skin Care,Moisturizer,1,14.36,2,80,2022-11-23
100016,Hair Care,Conditioner,3,19.07,4,130,2021-12-11
100017,Oral Care,Toothpaste,2,19.27,6,698,2021-07-03
100018,Body Care and Hygiene,Deodorant,2,16.01,53,388,2020-10-17
100019,Hair Care,Hair Oil,1,46.19,33,109,2025-01-29
100020,Oral Care,Mouthwash,4,14.51,48,869,2020-04-06
100021,Oral Care,Mouthwash,3,9.49,27,248,2023-01-25
100022,Hair Care,Conditioner,3,42.87,13,455,2025-02-13
100023,Body Care and Hygiene,Deodorant,4,19.61,1,671,2022-03-17
100024,Hair Care,Conditioner,2,31.17,57,803,2021-06-11
100025,Skin Care,Face Wash,2,61.64,44,430,2021-07-21
100026,Skin Care,Face Wash,3,23.07,60,158,2020-05-03
100027,Skin Care,Moisturizer,3,94.45,2,193,2023-07-15
100028,Skin Care,Face Wash,4,98.88,25,325,2021-08-27
100029,Body Care and Hygiene,Deodorant,1,17.68,49,349,2021-08-02
100030,Hair Care,Shampoo,4,34.83,33,573,2022-04-12
100031,Oral Care,Mouthwash,3,13.76,35,161,2022-01-16
100032,Skin Care,Sunscreen,1,23.9,43,343,2021-05-09
100033,Hair Care,Hair Oil,4,17.9,29,500,2024-11-07
100034,Skin Care,Sunscreen,4,48.82,46,474,2021-01-12
100035,Skin Care,Sunscreen,3,28.16,31,369,2023-09-12
100036,Skin Care,Lip Balm,1,86.33,6,966,2020-12-04
100037,Hair Care,Conditioner,1,11.42,37,901,2022-10-22
100038,Skin Care,Sunscreen,1,25.58,16,428,2021-05-03
100039,Oral Care,Mouthwash,2,4.17,40,344,2023-12-27
100040,Hair Care,Shampoo,4,14.89,24,854,2020-06-26
100041,Hair Care,Conditioner,4,23.32,19,771,2020-11-12
100042,Skin Care,Face Wash,4,68.25,27,763,2022-11-21
100043,Skin Care,Moisturizer,3,79.82,23,96,2021-02-22
100044,Skin Care,Sunscreen,4,69.93,49,99,2024-05-22
100045,Body Care and Hygiene,Deodorant,3,25.8,34,428,2023-04-16
100046,Skin Care,Lip Balm,4,98.89,25,666,2023-10-15
