invoice_no,category,quantity,price,shopping_mall,invoice_date
100000,Accessories,3,337.87,The Summit,2022-12-19
100001,Home Decor,3,211.89,Oakbrook Center,2021-07-26
100002,Electronics,2,62.42,The Grove,2024-09-26
100003,Accessories,3,83.74,International Plaza and Bay Street,2020-03-08
100004,Beauty Products,1,417.15,CambridgeSide,2021-01-10
100005,Home Decor,4,373.34,The Galleria at Fort Lauderdale,2020-01-04
100006,Electronics,2,384.46,The Grove,2023-10-01
100007,Accessories,4,59.83,Tysons Corner Center,2024-09-11
100008,Clothing,4,297.21,Metrocentre,2020-09-30
100009,Clothing,2,464.62,SouthPark,2023-04-08
100010,Electronics,4,18.92,Westfield London,2021-10-29
100011,Accessories,2,42.95,Scottsdale Fashion Square,2020-10-08
100012,Electronics,4,376.51,Westfield London,2022-01-11
100013,Groceries,2,80.3,The Mall at Millenia,2023-11-16
100014,Electronics,2,52.61,The Mall in Columbia,2024-02-03
100015,Beauty Products,2,84.12,The Streets at Southpoint,2024-12-01
100016,Clothing,4,428.4,Town Center at Boca Raton,2023-11-21
100017,Electronics,3,223.71,The Mall at Millenia,2021-02-02
100018,Groceries,4,27.56,The Mall in Columbia,2024-10-27
100019,Clothing,2,306.23,Pheasant Lane Mall,2022-04-28
100020,Clothing,1,395.7,Oakbrook Center,2025-01-16
100021,Home Decor,2,201.87,Meadowhall,2022-04-01
100022,Clothing,3,33.5,Stanford Shopping Center,2022-05-16
100023,Home Decor,3,264.05,Brookfield Place,2021-07-17
100024,Electronics,3,152.7,West Edmonton Mall,2021-08-07
100025,Jewelry,3,20.89,The Gardens Mall,2020-08-09
100026,Toys,2,314.0,NorthPark Center,2022-10-12
100027,Electronics,3,374.27,Bayshore Shopping Centre,2023-10-07
100028,Books,4,420.39,Tysons Corner Center,2024-11-19
100029,Accessories,2,267.74,Roosevelt Field,2024-03-05
100030,Footwear,1,181.88,The Florida Mall,2020-04-03
100031,Accessories,1,59.63,Brookfield Place,2024-05-14
100032,Groceries,3,23.15,Bullring & Grand Central,2020-01-25
100033,Jewelry,4,251.66,Meadowhall,2021-07-27
100034,Home Decor,3,147.17,The Gardens Mall,2021-11-05
100035,Footwear,4,88.63,The Trafford Centre,2022-12-11
100036,Jewelry,2,104.14,Aventura Mall,2022-05-14
100037,Home Decor,4,17.93,International Plaza and Bay Street,2022-05-25
100038,Home Decor,3,162.51,Roosevelt Field,2021-12-25
100039,Footwear,1,287.87,Bullring & Grand Central,2023-04-30
100040,Footwear,4,291.67,Westfield Annapolis,2022-05-17
100041,Jewelry,2,75.21,The Shops at Columbus Circle,2022-04-25
100042,Clothing,4,400.85,Trafford Centre,2022-06-09
100043,Accessories,2,83.26,Park Meadows,2023-06-23
100044,Footwear,1,123.75,International Plaza and Bay Street,2021-09-21
100045,Toys,4,496.53,Westfield Century City,2020-03-16
100046,Electronics,4,379.1,The Mall in Columbia,2023-12-11
100047,Beauty Products,2,412.51,Perimeter Mall,2023-06-26
100048,Electronics,4,451.26,South Coast Plaza,2021-02-09
100049,Groceries,2,268.58,Roosevelt Field,2020-03-12
100050,Footwear,3,117.01,Bullring & Grand Central,2023-09-24
100051,Groceries,3,196.15,Mall of America,2022-08-12
100052,Electronics,3,345.64,Arndale Centre,2022-11-14
100053,Clothing,2,272.51,Pheasant Lane Mall,2020-03-03
