date_key,day_of_week,month,year,quarter,is_holiday
2020-01-01,Wednesday,January,2020,2020Q1,0
2020-01-02,Thursday,January,2020,2020Q1,0
2020-01-03,Friday,January,2020,2020Q1,0
2020-01-04,Saturday,January,2020,2020Q1,1
2020-01-05,Sunday,January,2020,2020Q1,1
2020-01-06,Monday,January,2020,2020Q1,0
2020-01-07,Tuesday,January,2020,2020Q1,0
2020-01-08,Wednesday,January,2020,2020Q1,0
2020-01-09,Thursday,January,2020,2020Q1,0
2020-01-10,Friday,January,2020,2020Q1,0
2020-01-11,Saturday,January,2020,2020Q1,1
2020-01-12,Sunday,January,2020,2020Q1,1
2020-01-13,Monday,January,2020,2020Q1,0
2020-01-14,Tuesday,January,2020,2020Q1,0
2020-01-15,Wednesday,January,2020,2020Q1,0
2020-01-16,Thursday,January,2020,2020Q1,0
2020-01-17,Friday,January,2020,2020Q1,0
2020-01-18,Saturday,January,2020,2020Q1,1
2020-01-19,Sunday,January,2020,2020Q1,1
2020-01-20,Monday,January,2020,2020Q1,0
2020-01-21,Tuesday,January,2020,2020Q1,0
2020-01-22,Wednesday,January,2020,2020Q1,0
2020-01-23,Thursday,January,2020,2020Q1,0
2020-01-24,Friday,January,2020,2020Q1,0
2020-01-25,Saturday,January,2020,2020Q1,1
2020-01-26,Sunday,January,2020,2020Q1,1
2020-01-27,Monday,January,2020,2020Q1,0
2020-01-28,Tuesday,January,2020,2020Q1,0
2020-01-29,Wednesday,January,2020,2020Q1,0
2020-01-30,Thursday,January,2020,2020Q1,0
2020-01-31,Friday,January,2020,2020Q1,0
2020-02-01,Saturday,February,2020,2020Q1,1
2020-02-02,Sunday,February,2020,2020Q1,1
2020-02-03,Monday,February,2020,2020Q1,0
2020-02-04,Tuesday,February,2020,2020Q1,0
2020-02-05,Wednesday,February,2020,2020Q1,0
2020-02-06,Thursday,February,2020,2020Q1,0
2020-02-07,Friday,February,2020,2020Q1,0
2020-02-08,Saturday,February,2020,2020Q1,1
2020-02-09,Sunday,February,2020,2020Q1,1
2020-02-10,Monday,February,2020,2020Q1,0
2020-02-11,Tuesday,February,2020,2020Q1,0
2020-02-12,Wednesday,February,2020,2020Q1,0
2020-02-13,Thursday,February,2020,2020Q1,0
2020-02-14,Friday,February,2020,2020Q1,0
2020-02-15,Saturday,February,2020,2020Q1,1
2020-02-16,Sunday,February,2020,2020Q1,1
2020-02-17,Monday,February,2020,2020Q1,0
