location_id,shopping_mall,city,province_state,country
1,Mall of America,Bloomington,Minnesota,US
2,The Galleria,Houston,Texas,US
3,Westfield London,London,England,UK
4,Trafford Centre,Manchester,England,UK
5,King of Prussia Mall,Philadelphia,Pennsylvania,US
6,Aventura Mall,Miami,Florida,US
7,West Edmonton Mall,Edmonton,Alberta,Canada
8,Bluewater Shopping Centre,Dartford,Kent,UK
9,Bullring & Grand Central,Birmingham,West Midlands,UK
10,South Coast Plaza,Costa Mesa,California,US
11,Roosevelt Field,Garden City,New York,US
12,Metrocentre,Gateshead,Tyne and Wear,UK
13,The Grove,Los Angeles,California,US
14,Westfield Stratford City,London,England,UK
15,Meadowhall,Sheffield,South Yorkshire,UK
16,The Oracle,Reading,Berkshire,UK
17,Lakeside Shopping Centre,Thurrock,Essex,UK
18,Arndale Centre,Manchester,Greater Manchester,UK
19,Yorkdale Shopping Centre,Toronto,Ontario,Canada
20,The Trafford Centre,Manchester,Greater Manchester,UK
21,Fashion Show Mall,Las Vegas,Nevada,US
22,Tysons Corner Center,McLean,Virginia,US
23,Palisades Center,West Nyack,New York,US
24,The Dubai Mall,Dubai,Dubai,UAE
25,Lenox Square,Atlanta,Georgia,US
26,Easton Town Center,Columbus,Ohio,US
27,Oakbrook Center,Oak Brook,Illinois,US
28,Dolphin Mall,Miami,Florida,US
29,The Mall at Millenia,Orlando,Florida,US
30,Westfield San Francisco Centre,San Francisco,California,US
31,Cherry Creek Shopping Center,Denver,Colorado,US
32,International Plaza and Bay Street,Tampa,Florida,US
33,Bellevue Square,Bellevue,Washington,US
34,The Shops at Columbus Circle,New York,New York,US
35,Bayshore Shopping Centre,Ottawa,Ontario,Canada
36,The Mall at Short Hills,Short Hills,New Jersey,US
37,Bloor-Yorkville,Toronto,Ontario,Canada
38,The Shops at La Cantera,San Antonio,Texas,US
39,Scottsdale Fashion Square,Scottsdale,Arizona,US
40,Perimeter Mall,Atlanta,Georgia,US
41,Stanford Shopping Center,Palo Alto,California,US
42,Brookfield Place,New York,New York,US
43,The Domain,Austin,Texas,US
44,The Florida Mall,Orlando,Florida,US
45,Westfield Annapolis,Annapolis,Maryland,US
46,Park Meadows,Lone Tree,Colorado,US
47,The Americana at Brand,Glendale,California,US
48,Santa Monica Place,Santa Monica,California,US
49,NorthPark Center,Dallas,Texas,US
50,The Summit,Birmingham,Alabama,US
51,CambridgeSide,Cambridge,Massachusetts,US
52,Pheasant Lane Mall,Nashua,New Hampshire,US
53,SouthPark,Charlotte,North Carolina,US
54,Westfield Century City,Los Angeles,California,US
55,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US
56,The Mall in Columbia,Columbia,Maryland,US
57,The Gardens Mall,Palm Beach Gardens,Florida,US
58,Town Center at Boca Raton,Boca Raton,Florida,US
59,The Streets at Southpoint,Durham,North Carolina,US
60,Stonebriar Centre,Frisco,Texas,US
