invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date,payment_id
100000,Hair Care,Hair Oil,1,17.45,1,398,2023-03-22,2
100001,Body Care and Hygiene,Deodorant,4,20.81,21,938,2024-04-06,9
100002,Skin Care,Face Wash,4,40.96,17,258,2022-05-31,10
100003,Body Care and Hygiene,Body Lotion,2,27.5,9,892,2021-01-01,10
100004,Oral Care,Toothpaste,1,16.43,55,978,2020-02-10,7
100005,Body Care and Hygiene,Hand Sanitizer,2,10.48,31,426,2024-04-07,1
100006,Skin Care,Moisturizer,3,43.91,52,509,2021-03-05,5
100007,Skin Care,Face Wash,4,10.75,58,242,2023-04-01,7
100008,Body Care and Hygiene,Body Lotion,3,20.2,15,276,2022-04-03,4
100009,Hair Care,Shampoo,4,5.46,17,568,2023-05-14,5
100010,Body Care and Hygiene,Hand Sanitizer,4,21.72,52,233,2020-12-21,1
100011,Body Care and Hygiene,Hand Sanitizer,3,9.02,13,443,2022-02-09,4
100012,Hair Care,Conditioner,1,12.45,58,567,2022-02-20,7
100013,Oral Care,Toothpaste,4,12.64,41,272,2021-12-18,4
100014,Oral Care,Mouthwash,1,2.58,46,878,2020-01-03,4
100015,Hair Care,Hair Oil,4,6.3,42,412,2024-06-03,10
100016,Skin Care,Sunscreen,3,49.9,16,517,2020-04-12,8
100017,Hair Care,Hair Oil,4,19.32,59,711,2023-03-10,4
100018,Hair Care,Shampoo,1,9.44,10,932,2020-07-20,10
100019,Body Care and Hygiene,Body Lotion,2,21.05,17,362,2021-11-15,8
100020,Hair Care,Hair Oil,4,48.02,39,586,2024-03-07,5
100021,Hair Care,Hair Oil,2,35.65,47,962,2025-02-09,10
100022,Body Care and Hygiene,Hand Sanitizer,2,12.85,32,244,2023-01-21,5
100023,Body Care and Hygiene,Deodorant,4,11.58,32,597,2020-07-06,8
100024,Body Care and Hygiene,Hand Sanitizer,2,5.37,3,883,2024-06-20,10
100025,Oral Care,Mouthwash,2,19.96,4,829,2024-11-11,6
100026,Body Care and Hygiene,Hand Sanitizer,4,12.12,60,327,2024-06-26,9
100027,Hair Care,Shampoo,2,42.19,47,335,2020-07-18,8
100028,Oral Care,Toothpaste,2,7.73,37,514,2021-11-14,6
